,Match ID,Venue,Innings,Bowling Side,Batting Side,Batter,Winner,Non Striker,Bowler,Ball,Batter Runs,Extra Runs,Run scored,Ball Rebowled,Extra Type,Method,Player Out,Current Score,Target Score,Required Runs,Balls Remaining,Wickets Left,RR,CR,Result
194,1339605,SuperSport Park,2,West Indies,South Africa,Q de Kock,South Africa,RR Hendricks,RA Reifer,5,0,0,0,0,[],caught,Q de Kock,152,259,107.0,55,9,11.672727272727274,14.03076923076923,1
202,1339605,SuperSport Park,2,West Indies,South Africa,RR Rossouw,South Africa,RR Hendricks,OF Smith,6,0,0,0,0,[],caught,RR Rossouw,180,259,79.0,48,8,9.875,15.0,1
207,1339605,SuperSport Park,2,West Indies,South Africa,RR Hendricks,South Africa,DA Miller,R Powell,4,0,0,0,0,[],caught,RR Hendricks,193,259,66.0,44,7,9.0,15.236842105263158,1
226,1339605,SuperSport Park,2,West Indies,South Africa,DA Miller,South Africa,AK Markram,JO Holder,4,0,0,0,0,[],caught,DA Miller,216,259,43.0,26,6,9.923076923076923,13.787234042553193,1
1331,356009,Lord's,2,Sri Lanka,Ireland,WTS Porterfield,Sri Lanka,NJ O'Brien,M Muralitharan,1,0,0,0,0,[],caught,WTS Porterfield,59,145,86.0,65,9,7.938461538461539,6.4363636363636365,0
1359,356009,Lord's,2,Sri Lanka,Ireland,AR White,Sri Lanka,NJ O'Brien,KMDN Kulasekara,5,0,0,0,0,[],caught,AR White,87,145,58.0,37,8,9.405405405405405,6.289156626506024,0
1363,356009,Lord's,2,Sri Lanka,Ireland,KJ O'Brien,Sri Lanka,NJ O'Brien,BAW Mendis,3,0,0,0,0,[],caught,KJ O'Brien,89,145,56.0,33,7,10.181818181818182,6.137931034482758,0
1366,356009,Lord's,2,Sri Lanka,Ireland,NJ O'Brien,Sri Lanka,JF Mooney,BAW Mendis,6,0,0,0,0,[],stumped,NJ O'Brien,91,145,54.0,30,6,10.8,6.066666666666666,0
1380,356009,Lord's,2,Sri Lanka,Ireland,DT Johnston,Sri Lanka,JF Mooney,SL Malinga,2,0,0,0,0,[],bowled,DT Johnston,106,145,39.0,16,5,14.625,6.115384615384615,0
1381,356009,Lord's,2,Sri Lanka,Ireland,AC Botha,Sri Lanka,JF Mooney,SL Malinga,3,0,0,0,0,[],bowled,AC Botha,106,145,39.0,15,4,15.600000000000001,6.057142857142857,0
1395,356009,Lord's,2,Sri Lanka,Ireland,JF Mooney,Sri Lanka,AR Cusack,SL Malinga,3,0,0,0,0,[],run out,AR Cusack,129,145,16.0,3,3,32.0,6.615384615384616,0
1875,1072317,Bellerive Oval,2,England,Australia,DA Warner,Australia,DJM Short,DJ Willey,2,0,0,0,0,[],caught,DA Warner,4,156,152.0,118,9,7.728813559322033,12.0,1
1877,1072317,Bellerive Oval,2,England,Australia,CA Lynn,Australia,DJM Short,DJ Willey,4,0,0,0,0,[],bowled,CA Lynn,4,156,152.0,116,8,7.862068965517241,6.0,1
1926,1072317,Bellerive Oval,2,England,Australia,DJM Short,Australia,GJ Maxwell,AU Rashid,4,0,0,0,0,[],caught and bowled,DJM Short,82,156,74.0,68,7,6.529411764705882,9.461538461538462,1
1945,1072317,Bellerive Oval,2,England,Australia,MP Stoinis,Australia,GJ Maxwell,MA Wood,4,0,0,0,0,[],caught,MP Stoinis,98,156,58.0,50,6,6.959999999999999,8.399999999999999,1
1971,1072317,Bellerive Oval,2,England,Australia,TM Head,Australia,GJ Maxwell,DJ Willey,5,0,0,0,0,[],bowled,TM Head,127,156,29.0,25,5,6.959999999999999,8.021052631578947,1
2118,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,A Balbirnie,United Arab Emirates,PR Stirling,Junaid Siddique,5,0,0,0,0,[],run out,PR Stirling,1,179,178.0,115,9,9.28695652173913,1.2000000000000002,0
2147,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,GJ Delany,United Arab Emirates,A Balbirnie,Rohan Mustafa,4,0,0,0,0,[],bowled,GJ Delany,65,179,114.0,86,8,7.953488372093023,11.470588235294118,0
2171,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,A Balbirnie,United Arab Emirates,C Campher,KP Meiyappan,3,0,0,0,0,[],caught,A Balbirnie,89,179,90.0,63,7,8.571428571428571,9.368421052631579,0
2185,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,SC Getkate,United Arab Emirates,C Campher,KP Meiyappan,5,0,0,0,0,[],caught,SC Getkate,106,179,73.0,49,6,8.938775510204081,8.95774647887324,0
2219,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,L Tucker,United Arab Emirates,C Campher,Zahoor Khan,2,1,0,1,0,[],run out,L Tucker,148,179,31.0,16,5,11.625,8.538461538461538,0
2222,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,GH Dockrell,United Arab Emirates,C Campher,Zahoor Khan,5,0,0,0,0,[],caught,GH Dockrell,150,179,29.0,13,4,13.384615384615385,8.411214953271028,0
2234,1299592,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,United Arab Emirates,Ireland,C Campher,United Arab Emirates,MR Adair,Zahoor Khan,4,0,1,1,1,['wides'],run out,C Campher,164,179,15.0,3,3,30.0,8.410256410256409,0
2689,533283,Pallekele International Cricket Stadium,2,Bangladesh,Pakistan,Imran Nazir,Pakistan,Mohammad Hafeez,Abul Hasan,3,0,0,0,0,[],caught,Imran Nazir,124,176,52.0,39,9,8.0,9.185185185185185,1
2692,533283,Pallekele International Cricket Stadium,2,Bangladesh,Pakistan,Mohammad Hafeez,Pakistan,Nasir Jamshed,Abul Hasan,6,0,0,0,0,[],caught,Mohammad Hafeez,126,176,50.0,36,8,8.333333333333332,9.0,1
3080,1262759,R Premadasa Stadium,2,India,Sri Lanka,WIA Fernando,Sri Lanka,M Bhanuka,B Kumar,4,0,0,0,0,[],caught,WIA Fernando,12,133,121.0,104,9,6.980769230769232,4.5,1
3106,1262759,R Premadasa Stadium,2,India,Sri Lanka,S Samarawickrama,Sri Lanka,M Bhanuka,CV Varun,6,0,0,0,0,[],bowled,S Samarawickrama,39,133,94.0,78,8,7.23076923076923,5.571428571428571,1
3120,1262759,R Premadasa Stadium,2,India,Sri Lanka,MD Shanaka,Sri Lanka,M Bhanuka,Kuldeep Yadav,2,0,1,1,1,['wides'],stumped,MD Shanaka,55,133,78.0,65,7,7.199999999999999,6.0,1
3135,1262759,R Premadasa Stadium,2,India,Sri Lanka,M Bhanuka,Sri Lanka,DM de Silva,Kuldeep Yadav,4,0,0,0,0,[],caught,M Bhanuka,66,133,67.0,50,6,8.040000000000001,5.657142857142857,1
3155,1262759,R Premadasa Stadium,2,India,Sri Lanka,PWH de Silva,Sri Lanka,DM de Silva,RD Chahar,6,0,0,0,0,[],caught,PWH de Silva,94,133,39.0,30,5,7.800000000000001,6.2666666666666675,1
3169,1262759,R Premadasa Stadium,2,India,Sri Lanka,RTM Mendis,Sri Lanka,DM de Silva,C Sakariya,2,0,0,0,0,[],caught,RTM Mendis,105,133,28.0,16,4,10.5,6.0576923076923075,1
3307,875545,The Village,2,Papua New Guinea,Afghanistan,Mohammad Shahzad,Afghanistan,Nawroz Mangal,N Vanua,1,0,0,0,0,[],caught,Mohammad Shahzad,0,128,128.0,119,9,6.453781512605042,0.0,1
3368,875545,The Village,2,Papua New Guinea,Afghanistan,Asghar Stanikzai,Afghanistan,Nawroz Mangal,CJA Amini,6,0,0,0,0,[],stumped,Asghar Stanikzai,57,128,71.0,60,8,7.1,5.699999999999999,1
3391,875545,The Village,2,Papua New Guinea,Afghanistan,Samiullah Shenwari,Afghanistan,Nawroz Mangal,CJA Amini,5,0,0,0,0,[],caught,Samiullah Shenwari,83,128,45.0,37,7,7.297297297297297,6.0,1
3409,875545,The Village,2,Papua New Guinea,Afghanistan,Mohammad Nabi,Afghanistan,Nawroz Mangal,N Vanua,4,0,0,0,0,[],caught,Mohammad Nabi,105,128,23.0,20,6,6.8999999999999995,6.300000000000001,1
3550,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,PJ Moor,Afghanistan,H Masakadza,Dawlat Zadran,3,0,0,0,0,[],caught,PJ Moor,2,188,186.0,117,9,9.538461538461538,4.0,0
3567,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,CJ Chibhabha,Afghanistan,H Masakadza,Dawlat Zadran,6,0,0,0,0,[],caught,CJ Chibhabha,32,188,156.0,102,8,9.176470588235293,10.666666666666666,0
3587,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,R Mutumbami,Afghanistan,H Masakadza,Gulbadin Naib,1,0,0,0,0,[],caught,R Mutumbami,54,188,134.0,83,7,9.686746987951807,8.756756756756756,0
3619,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,H Masakadza,Afghanistan,MN Waller,Mohammad Nabi,1,0,0,0,0,[],bowled,H Masakadza,95,188,93.0,53,6,10.528301886792454,8.507462686567164,0
3661,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,Sikandar Raza,Afghanistan,MN Waller,Amir Hamza,5,0,0,0,0,[],stumped,Sikandar Raza,151,188,37.0,13,5,17.076923076923077,8.46728971962617,0
3671,953345,Sharjah Cricket Stadium,2,Afghanistan,Zimbabwe,E Chigumbura,Afghanistan,MN Waller,Dawlat Zadran,1,1,0,1,0,[],run out,E Chigumbura,170,188,18.0,5,4,21.6,8.869565217391305,0
4076,682961,Shere Bangla National Stadium,2,Sri Lanka,West Indies,CH Gayle,Sri Lanka,DR Smith,SL Malinga,1,0,0,0,0,[],bowled,CH Gayle,25,108,83.0,95,9,5.242105263157895,6.0,0
4080,682961,Shere Bangla National Stadium,2,Sri Lanka,West Indies,DR Smith,Sri Lanka,LMP Simmons,SL Malinga,5,0,0,0,0,[],bowled,DR Smith,28,108,80.0,91,8,5.274725274725275,5.793103448275862,0
4094,682961,Shere Bangla National Stadium,2,Sri Lanka,West Indies,LMP Simmons,Sri Lanka,MN Samuels,S Prasanna,1,0,0,0,0,[],lbw,LMP Simmons,34,108,74.0,77,7,5.766233766233766,4.7441860465116275,0
4132,682961,Shere Bangla National Stadium,2,Sri Lanka,West Indies,DJ Bravo,Sri Lanka,MN Samuels,KMDN Kulasekara,2,0,0,0,0,[],caught,DJ Bravo,77,108,31.0,40,6,4.65,5.775,0
4386,1273723,Sharjah Cricket Stadium,2,Netherlands,Sri Lanka,P Nissanka,Sri Lanka,MDKJ Perera,BD Glover,3,0,0,0,0,[],caught,P Nissanka,7,45,38.0,111,9,2.054054054054054,4.666666666666667,1
4412,1273723,Sharjah Cricket Stadium,2,Netherlands,Sri Lanka,KIC Asalanka,Sri Lanka,MDKJ Perera,PA van Meekeren,4,0,0,0,0,[],caught,KIC Asalanka,31,45,14.0,86,8,0.9767441860465117,5.470588235294118,1
4551,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,RD Berrington,Ireland,CS MacLeod,DT Johnston,2,0,0,0,0,[],bowled,RD Berrington,1,160,159.0,118,9,8.084745762711865,3.0,0
4566,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,PL Mommsen,Ireland,CS MacLeod,DT Johnston,4,0,0,0,0,[],lbw,PL Mommsen,20,160,140.0,104,8,8.076923076923077,7.5,0
4572,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,CS MacLeod,Ireland,KJ Coetzer,WB Rankin,4,0,0,0,0,[],lbw,CS MacLeod,22,160,138.0,98,7,8.448979591836736,6.0,0
4638,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,DF Watts,Ireland,KJ Coetzer,KJ O'Brien,4,0,0,0,0,[],caught,DF Watts,101,160,59.0,32,6,11.0625,6.886363636363637,0
4639,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,KJ Coetzer,Ireland,JH Stander,KJ O'Brien,5,0,0,0,0,[],run out,JH Stander,101,160,59.0,31,5,11.419354838709678,6.808988764044944,0
4661,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,R Flannigan,Ireland,KJ Coetzer,KJ O'Brien,3,0,0,0,0,[],caught,R Flannigan,130,160,30.0,9,4,20.0,7.027027027027027,0
4663,546442,Dubai International Cricket Stadium,2,Ireland,Scotland,KJ Coetzer,Ireland,CD Wallace,KJ O'Brien,5,0,0,0,0,[],caught and bowled,KJ Coetzer,134,160,26.0,7,3,22.285714285714285,7.115044247787611,0
4812,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,PR Stirling,New Zealand,A Balbirnie,LH Ferguson,6,0,0,0,0,[],caught,PR Stirling,23,180,157.0,102,9,9.23529411764706,7.666666666666666,0
4814,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,GJ Delany,New Zealand,A Balbirnie,JA Duffy,2,0,0,0,0,[],bowled,GJ Delany,24,180,156.0,100,8,9.36,7.199999999999999,0
4819,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,HT Tector,New Zealand,A Balbirnie,LH Ferguson,1,0,0,0,0,[],run out,HT Tector,27,180,153.0,95,7,9.663157894736841,6.48,0
4830,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,A Balbirnie,New Zealand,C Campher,JA Duffy,5,0,0,0,0,[],caught,A Balbirnie,41,180,139.0,85,6,9.811764705882354,7.0285714285714285,0
4842,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,L Tucker,New Zealand,C Campher,IS Sodhi,5,0,0,0,0,[],stumped,L Tucker,45,180,135.0,73,5,11.095890410958905,5.74468085106383,0
4843,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,GH Dockrell,New Zealand,C Campher,IS Sodhi,6,0,0,0,0,[],caught,GH Dockrell,45,180,135.0,72,4,11.25,5.625,0
4855,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,C Campher,New Zealand,MR Adair,IS Sodhi,4,0,0,0,0,[],caught,C Campher,54,180,126.0,62,3,12.193548387096774,5.586206896551724,0
4878,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,MR Adair,New Zealand,BJ McCarthy,MG Bracewell,3,0,0,0,0,[],caught,MR Adair,91,180,89.0,39,2,13.692307692307692,6.740740740740741,0
4879,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,BJ McCarthy,New Zealand,CA Young,MG Bracewell,4,0,0,0,0,[],caught,BJ McCarthy,91,180,89.0,38,1,14.052631578947368,6.658536585365854,0
4880,1303313,Civil Service Cricket Club,2,New Zealand,Ireland,CA Young,New Zealand,J Little,MG Bracewell,5,0,0,0,0,[],caught,CA Young,91,180,89.0,37,0,14.432432432432432,6.578313253012048,0
5546,875457,Grange Cricket Club Ground,2,United Arab Emirates,Scotland,KJ Coetzer,Scotland,HG Munsey,Mohammad Naveed,6,0,0,0,0,[],bowled,KJ Coetzer,96,110,14.0,72,9,1.1666666666666667,12.0,1
6074,1298157,Sydney Cricket Ground,2,India,Netherlands,Vikramjit Singh,India,MP O'Dowd,B Kumar,2,0,0,0,0,[],bowled,Vikramjit Singh,11,180,169.0,106,9,9.566037735849056,4.714285714285714,0
6086,1298157,Sydney Cricket Ground,2,India,Netherlands,MP O'Dowd,India,BFW de Leede,AR Patel,2,0,0,0,0,[],bowled,MP O'Dowd,20,180,160.0,94,8,10.212765957446809,4.615384615384616,0
6117,1298157,Sydney Cricket Ground,2,India,Netherlands,BFW de Leede,India,CN Ackermann,AR Patel,2,0,0,0,0,[],caught,BFW de Leede,47,180,133.0,64,7,12.46875,5.035714285714286,0
6135,1298157,Sydney Cricket Ground,2,India,Netherlands,CN Ackermann,India,TLW Cooper,R Ashwin,1,0,0,0,0,[],caught,CN Ackermann,62,180,118.0,47,6,15.063829787234042,5.095890410958904,0
6138,1298157,Sydney Cricket Ground,2,India,Netherlands,TLW Cooper,India,SA Edwards,R Ashwin,4,0,0,0,0,[],caught,TLW Cooper,63,180,117.0,44,5,15.954545454545455,4.973684210526316,0
6157,1298157,Sydney Cricket Ground,2,India,Netherlands,TJG Pringle,India,SA Edwards,Mohammed Shami,4,0,0,0,0,[],caught,TJG Pringle,87,180,93.0,26,4,21.461538461538463,5.553191489361701,0
6162,1298157,Sydney Cricket Ground,2,India,Netherlands,SA Edwards,India,LV van Beek,B Kumar,3,0,0,0,0,[],caught,SA Edwards,89,180,91.0,21,3,26.0,5.3939393939393945,0
6170,1298157,Sydney Cricket Ground,2,India,Netherlands,LV van Beek,India,Shariz Ahmad,Arshdeep Singh,5,0,0,0,0,[],caught,LV van Beek,101,180,79.0,13,2,36.46153846153846,5.663551401869158,0
6171,1298157,Sydney Cricket Ground,2,India,Netherlands,FJ Klaassen,India,Shariz Ahmad,Arshdeep Singh,6,0,0,0,0,[],lbw,FJ Klaassen,101,180,79.0,12,1,39.5,5.611111111111112,0
6642,1322337,Hagley Oval,2,Pakistan,New Zealand,FH Allen,New Zealand,DP Conway,Shadab Khan,3,0,0,0,0,[],stumped,FH Allen,117,131,14.0,39,9,2.1538461538461537,8.666666666666666,1
6784,913633,The Rose Bowl,2,Sri Lanka,England,JJ Roy,England,JC Buttler,AD Mathews,3,0,0,0,0,[],bowled,JJ Roy,0,141,141.0,117,9,7.23076923076923,0.0,1
6810,913633,The Rose Bowl,2,Sri Lanka,England,JM Vince,England,JC Buttler,AD Mathews,5,0,0,0,0,[],stumped,JM Vince,30,141,111.0,91,8,7.318681318681319,6.206896551724139,1
7301,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,E Lewis,West Indies,LMP Simmons,PWH de Silva,4,0,0,0,0,[],lbw,E Lewis,37,132,95.0,92,9,6.195652173913043,7.928571428571429,1
7314,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,LMP Simmons,West Indies,CH Gayle,PWH de Silva,5,0,0,0,0,[],stumped,LMP Simmons,54,132,78.0,79,8,5.924050632911393,7.902439024390244,1
7323,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,KA Pollard,West Indies,CH Gayle,PVD Chameera,6,0,0,0,0,[],caught,KA Pollard,61,132,71.0,72,7,5.916666666666667,7.625,1
7345,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,CH Gayle,West Indies,N Pooran,PADLR Sandakan,3,0,0,0,0,[],bowled,CH Gayle,75,132,57.0,51,6,6.705882352941177,6.521739130434782,1
7362,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,N Pooran,West Indies,JO Holder,PVD Chameera,2,0,0,0,0,[],bowled,N Pooran,95,132,37.0,34,5,6.529411764705882,6.627906976744185,1
7376,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,R Powell,West Indies,JO Holder,PADLR Sandakan,4,0,0,0,0,[],bowled,R Powell,105,132,27.0,20,4,8.100000000000001,6.300000000000001,1
7377,1252068,Coolidge Cricket Ground,2,Sri Lanka,West Indies,DJ Bravo,West Indies,JO Holder,PADLR Sandakan,5,0,0,0,0,[],caught,DJ Bravo,105,132,27.0,19,3,8.526315789473685,6.237623762376238,1
7535,1273735,Dubai International Cricket Stadium,2,Afghanistan,Pakistan,Mohammad Rizwan,Pakistan,Babar Azam,Mujeeb Ur Rahman,3,0,0,0,0,[],caught,Mohammad Rizwan,12,148,136.0,105,9,7.771428571428572,4.800000000000001,1
7587,1273735,Dubai International Cricket Stadium,2,Afghanistan,Pakistan,Fakhar Zaman,Pakistan,Babar Azam,Mohammad Nabi,1,0,0,0,0,[],lbw,Fakhar Zaman,75,148,73.0,53,8,8.264150943396226,6.716417910447761,1
7606,1273735,Dubai International Cricket Stadium,2,Afghanistan,Pakistan,Mohammad Hafeez,Pakistan,Babar Azam,Rashid Khan,1,0,0,0,0,[],caught,Mohammad Hafeez,97,148,51.0,35,7,8.742857142857142,6.847058823529411,1
7624,1273735,Dubai International Cricket Stadium,2,Afghanistan,Pakistan,Babar Azam,Pakistan,Shoaib Malik,Rashid Khan,6,0,0,0,0,[],bowled,Babar Azam,122,148,26.0,18,6,8.666666666666666,7.1764705882352935,1
7629,1273735,Dubai International Cricket Stadium,2,Afghanistan,Pakistan,Shoaib Malik,Pakistan,Asif Ali,Naveen-ul-Haq,5,0,0,0,0,[],caught,Shoaib Malik,124,148,24.0,13,5,11.076923076923077,6.953271028037383,1
8186,1170459,ICC Academy,2,Nepal,United Arab Emirates,Ashfaq Ahmed,Nepal,Ghulam Shabber,Sompal Kami,6,0,0,0,0,[],caught,Ashfaq Ahmed,29,105,76.0,108,9,4.222222222222222,14.5,0
8203,1170459,ICC Academy,2,Nepal,United Arab Emirates,Ghulam Shabber,Nepal,Shaiman Anwar,A Bohara,4,0,0,0,0,[],bowled,Ghulam Shabber,57,105,48.0,92,8,3.1304347826086953,12.214285714285714,0
8208,1170459,ICC Academy,2,Nepal,United Arab Emirates,Muhammad Usman,Nepal,Shaiman Anwar,S Lamichhane,3,0,0,0,0,[],caught,Muhammad Usman,60,105,45.0,87,7,3.1034482758620694,10.909090909090908,0
8218,1170459,ICC Academy,2,Nepal,United Arab Emirates,Shaiman Anwar,Nepal,Mohammad Boota,Karan KC,1,0,0,0,0,[],caught,Shaiman Anwar,72,105,33.0,77,6,2.571428571428571,10.046511627906977,0
8220,1170459,ICC Academy,2,Nepal,United Arab Emirates,Mohammad Naveed,Nepal,Mohammad Boota,Karan KC,3,0,0,0,0,[],caught,Mohammad Naveed,73,105,32.0,75,5,2.56,9.733333333333334,0
8228,1170459,ICC Academy,2,Nepal,United Arab Emirates,Mohammad Boota,Nepal,CP Rizwan,A Bohara,5,0,0,0,0,[],caught,Mohammad Boota,84,105,21.0,67,4,1.8805970149253732,9.50943396226415,0
8230,1170459,ICC Academy,2,Nepal,United Arab Emirates,CP Rizwan,Nepal,Amir Hayat,LN Rajbanshi,1,0,0,0,0,[],caught,CP Rizwan,85,105,20.0,65,3,1.8461538461538463,9.272727272727273,0
8231,1170459,ICC Academy,2,Nepal,United Arab Emirates,Amir Hayat,Nepal,Sultan Ahmed,LN Rajbanshi,2,0,0,0,0,[],caught,Amir Hayat,85,105,20.0,64,2,1.875,9.107142857142858,0
8392,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,BKG Mendis,India,P Nissanka,AR Patel,5,0,0,0,0,[],caught,BKG Mendis,44,229,185.0,91,9,12.197802197802197,9.103448275862068,0
8396,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,P Nissanka,India,WIA Fernando,Arshdeep Singh,3,0,0,0,0,[],caught,P Nissanka,44,229,185.0,87,8,12.758620689655174,8.0,0
8401,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,WIA Fernando,India,DM de Silva,HH Pandya,1,0,0,0,0,[],caught,WIA Fernando,51,229,178.0,83,7,12.867469879518072,8.27027027027027,0
8425,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,KIC Asalanka,India,DM de Silva,YS Chahal,3,0,0,0,0,[],caught,KIC Asalanka,84,229,145.0,63,6,13.809523809523808,8.842105263157894,0
8437,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,DM de Silva,India,MD Shanaka,YS Chahal,2,0,0,0,0,[],caught,DM de Silva,96,229,133.0,52,5,15.346153846153845,8.470588235294118,0
8447,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,PWH de Silva,India,MD Shanaka,Umran Malik,6,0,0,0,0,[],caught,PWH de Silva,107,229,122.0,42,4,17.428571428571427,8.23076923076923,0
8456,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,C Karunaratne,India,MD Shanaka,HH Pandya,3,0,0,0,0,[],lbw,C Karunaratne,123,229,106.0,33,3,19.272727272727273,8.482758620689655,0
8463,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,M Theekshana,India,MD Shanaka,Umran Malik,3,0,0,0,0,[],bowled,M Theekshana,127,229,102.0,27,2,22.666666666666664,8.193548387096774,0
8467,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,MD Shanaka,India,CAK Rajitha,Arshdeep Singh,1,0,0,0,0,[],caught,MD Shanaka,135,229,94.0,23,1,24.521739130434785,8.350515463917525,0
8470,1348642,Saurashtra Cricket Association Stadium,2,India,Sri Lanka,D Madushanka,India,CAK Rajitha,Arshdeep Singh,4,0,0,0,0,[],bowled,D Madushanka,137,229,92.0,20,0,27.599999999999998,8.22,0
8832,1298141,Bellerive Oval,2,Scotland,Ireland,A Balbirnie,Ireland,PR Stirling,BTJ Wheal,2,0,0,0,0,[],caught,A Balbirnie,22,177,155.0,100,9,9.3,6.6000000000000005,1
8840,1298141,Bellerive Oval,2,Scotland,Ireland,PR Stirling,Ireland,L Tucker,SM Sharif,3,0,0,0,0,[],caught,PR Stirling,29,177,148.0,93,8,9.548387096774192,6.444444444444445,1
8866,1298141,Bellerive Oval,2,Scotland,Ireland,L Tucker,Ireland,HT Tector,MRJ Watt,4,0,0,0,0,[],caught,L Tucker,57,177,120.0,68,7,10.588235294117647,6.5769230769230775,1
8871,1298141,Bellerive Oval,2,Scotland,Ireland,HT Tector,Ireland,C Campher,MA Leask,3,0,0,0,0,[],caught,HT Tector,61,177,116.0,63,6,11.047619047619047,6.421052631578947,1
9304,1200427,The Village,2,Ireland,Netherlands,TP Visee,Netherlands,MP O'Dowd,MR Adair,1,0,0,0,0,[],bowled,TP Visee,0,182,182.0,119,9,9.176470588235293,0.0,1
9398,1200427,The Village,2,Ireland,Netherlands,MP O'Dowd,Netherlands,BN Cooper,GH Dockrell,1,0,0,0,0,[],caught,MP O'Dowd,144,182,38.0,29,8,7.862068965517241,9.494505494505495,1
9400,1200427,The Village,2,Ireland,Netherlands,AJ Staal,Netherlands,BN Cooper,GH Dockrell,3,0,0,0,0,[],bowled,AJ Staal,144,182,38.0,27,7,8.444444444444445,9.29032258064516,1
9414,1200427,The Village,2,Ireland,Netherlands,PM Seelaar,Netherlands,BN Cooper,GH Dockrell,4,0,0,0,0,[],caught,PM Seelaar,159,182,23.0,14,6,9.857142857142858,9.0,1
9797,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Tamim Iqbal,Afghanistan,Liton Das,Mujeeb Ur Rahman,1,0,0,0,0,[],lbw,Tamim Iqbal,0,168,168.0,119,9,8.470588235294118,0.0,0
9818,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Shakib Al Hasan,Afghanistan,Liton Das,Mohammad Nabi,4,0,0,0,0,[],caught,Shakib Al Hasan,21,168,147.0,98,8,9.0,5.7272727272727275,0
9846,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Liton Das,Afghanistan,Mushfiqur Rahim,Mohammad Nabi,6,0,0,0,0,[],lbw,Liton Das,64,168,104.0,72,7,8.666666666666666,8.0,0
9859,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Mushfiqur Rahim,Afghanistan,Mahmudullah,Rashid Khan,1,0,0,0,0,[],bowled,Mushfiqur Rahim,79,168,89.0,59,6,9.050847457627118,7.77049180327869,0
9860,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Sabbir Rahman,Afghanistan,Mahmudullah,Rashid Khan,2,0,0,0,0,[],lbw,Sabbir Rahman,79,168,89.0,58,5,9.206896551724139,7.64516129032258,0
9898,1145982,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Mosaddek Hossain,Afghanistan,Mahmudullah,Rashid Khan,3,0,0,0,0,[],caught,Mosaddek Hossain,108,168,60.0,21,4,17.142857142857142,6.545454545454545,0
